,Filter Configuration,No. of Attrib,Threshold,Spam Recall,Spam Precision,Weighted Accuracy,Weighted Error,baseline W.Acc,baseline W.Err,TCR
132,stop,150,0.5,0.0,0.0,78.43206810925861,21.5679318907414,78.43206810925861,21.5679318907414,1.0
133,stop,150,0.9,0.0,0.0,86.74746065652383,13.252539343476174,86.74746065652383,13.252539343476174,1.0
134,stop,150,0.999,0.0,0.0,87.90188909613978,12.098110903860212,87.90188909613978,12.098110903860212,1.0
135,stop,200,0.5,0.0,0.0,78.43206810925861,21.5679318907414,78.43206810925861,21.5679318907414,1.0
136,stop,200,0.9,0.0,0.0,86.74746065652383,13.252539343476174,86.74746065652383,13.252539343476174,1.0
137,stop,200,0.999,0.0,0.0,87.90188909613978,12.098110903860212,87.90188909613978,12.098110903860212,1.0
138,stop,250,0.5,0.0,0.0,78.43206810925861,21.5679318907414,78.43206810925861,21.5679318907414,1.0
139,stop,250,0.9,0.0,0.0,86.74746065652383,13.252539343476174,86.74746065652383,13.252539343476174,1.0
140,stop,250,0.999,0.0,0.0,87.90188909613978,12.098110903860212,87.90188909613978,12.098110903860212,1.0
141,stop,300,0.5,0.0,0.0,78.43206810925861,21.5679318907414,78.43206810925861,21.5679318907414,1.0
142,stop,300,0.9,0.0,0.0,86.74746065652383,13.252539343476174,86.74746065652383,13.252539343476174,1.0
143,stop,300,0.999,0.0,0.0,87.90188909613978,12.098110903860212,87.90188909613978,12.098110903860212,1.0
144,stop,350,0.5,0.0,0.0,78.43206810925861,21.5679318907414,78.43206810925861,21.5679318907414,1.0
145,stop,350,0.9,0.0,0.0,86.74746065652383,13.252539343476174,86.74746065652383,13.252539343476174,1.0
146,stop,350,0.999,0.0,0.0,87.90188909613978,12.098110903860212,87.90188909613978,12.098110903860212,1.0
147,stop,400,0.5,0.0,0.0,78.43206810925861,21.5679318907414,78.43206810925861,21.5679318907414,1.0
148,stop,400,0.9,0.0,0.0,86.74746065652383,13.252539343476174,86.74746065652383,13.252539343476174,1.0
149,stop,400,0.999,0.0,0.0,87.90188909613978,12.098110903860212,87.90188909613978,12.098110903860212,1.0
150,stop,450,0.5,0.0,0.0,78.43206810925861,21.5679318907414,78.43206810925861,21.5679318907414,1.0
151,stop,450,0.9,0.0,0.0,86.74746065652383,13.252539343476174,86.74746065652383,13.252539343476174,1.0
152,stop,450,0.999,0.0,0.0,87.90188909613978,12.098110903860212,87.90188909613978,12.098110903860212,1.0
